"Kinase or Kinase
Complex Name",Gene Name,Official Full Name,Also Known As,NCBI Gene ID,Vector Catalog #,Vector Name,"Recommended ADH
Format App Note","Recommended NBS
Format App Note"
FER,FER,FER tyrosine kinase,"PPP1R74, TYK3, p94-Fer",2241,NV1331,FER-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
FES,FES,"FES proto-oncogene, tyrosine kinase","FPS, FES",2242,NV3091,FES-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
FGFR1,FGFR1,fibroblast growth factor receptor 1,"CEK, FLG, HH2, OGD, ECCL, FLT2, KAL2, BFGFR, CD331, FGFBR, FLT-2, HBGFR, N-SAM, FGFR-1, HRTFDS, bFGF-R-1",2260,NV1341,FGFR1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
FGFR2,FGFR2,fibroblast growth factor receptor 2,"BEK, JWS, BBDS, CEK3, CFD1, ECT1, KGFR, TK14, TK25, BFR-1, CD332, K-SAM",2263,NV1351,FGFR2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
FGFR3,FGFR3,fibroblast growth factor receptor 3,"ACH, CEK2, JTK4, CD333, HSFGFR3EX",2261,NV1361,FGFR3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
FGFR3 (G697C),FGFR3,ibroblast growth factor receptor 3,"ACH, CEK2, JTK4, CD333, HSFGFR3EX",2261,NV3101,FGFR3(G697C)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
FGFR4,FGFR4,fibroblast growth factor receptor 4,"TKF, JTK2, CD334",2264,NV1371,FGFR4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
FGR,FGR,"FGR proto-oncogene, Src family tyrosine kinase","SRC2, c-fgr, c-src2, p55-Fgr, p55c-fgr, p58-Fgr, p58c-fgr",2268,NV1381,NanoLuc®-FGR Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
FLT1,FLT1,fms-related tyrosine kinase 1 (vascular endothelial growth factor/ vascular permeability factor receptor),"FLT, VEGFR1, FLT1",2321,NV3111,FLT1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
FLT3,FLT3,fms related tyrosine kinase 3,"FLK2, STK1, CD135, FLK-2",2322,NV1391,FLT3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
FLT3 (D835H),FLT3,fms-related tyrosine kinase 3,"FLK2, STK1, CD135, FLK-2",2322,NV3121,FLT3(D835H)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
FLT3 (D835V),FLT3,fms-related tyrosine kinase 3,"FLK2, STK1, CD135, FLK-2",2322,NV3131,FLT3(D835V)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
FLT3 (D835Y),FLT3,fms-related tyrosine kinase 3,"FLK2, STK1, CD135, FLK-2",2322,NV3141,FLT3(D835Y)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
FLT3 (K663Q),FLT3,fms-related tyrosine kinase 3,"FLK2, STK1, CD135, FLK-2",2322,NV3151,FLT3(K663Q)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
FLT3 (N841I),FLT3,fms-related tyrosine kinase 3,"FLK2, STK1, CD135, FLK-2",2322,NV3161,FLT3(N841I)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
FLT3 (R834Q),FLT3,fms-related tyrosine kinase 3,"FLK2, STK1, CD135, FLK-2",2322,NV3171,FLT3(R834Q)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
FRK,FRK,fyn related Src family tyrosine kinase,"GTK, PTK5, RAK",2444,NV1401,FRK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
FYN,FYN,"FYN proto-oncogene, Src family tyrosine kinase","SLK, SYN, p59-FYN",2534,NV1411,FYN-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
FYN (Y531F),FYN,"FYN proto-oncogene, Src family tyrosine kinase","SLK, SYN, p59-FYN",2534,NV3181,FYN(Y531F)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
GAK,GAK,cyclin G associated kinase,"DNAJ26, DNAJC26",2580,NV1421,NanoLuc®-GAK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
GSK3A,GSK3A,glycogen synthase kinase 3 alpha,-,2931,NV3191,NanoLuc®-GSK3A Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
GSK3B,GSK3B,glycogen synthase kinase 3 beta,-,2932,NV3201,NanoLuc®-GSK3B Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
HCK,HCK,"HCK proto-oncogene, Src family tyrosine kinase","JTK9, p59Hck, p61Hck",3055,NV3211,HCK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
HIPK2,HIPK2,homeodomain interacting protein kinase 2,PRO0593,28996,NV3221,NanoLuc®-HIPK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
HIPK3,HIPK3,homeodomain interacting protein kinase 3,"PKY, YAK1, DYRK6, FIST3",10114,NV3231,NanoLuc®-HIPK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
HIPK4,HIPK4,homeodomain interacting protein kinase 4,-,147746,NV3241,NanoLuc®-HIPK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
ICK,CILK1,ciliogenesis associated kinase 1,"ECO, EJM10, ICK, LCK2, MRK, hICK",22858,NV3251,NanoLuc®-ICK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
IGF1R,IGF1R,insulin-like growth factor 1 receptor,"IGFR, CD221, IGFIR, JTK13, MGC18216, MGC142170, MGC142172, IGF1R",3480,NV3261,IGF1R-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
IKBKE,IKBKE,inhibitor of nuclear factor kappa B kinase subunit epsilon,"IKK-E, IKK-i, IKKE, IKKI",9641,NV1431,NanoLuc®-IKBKE Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
INSR,INSR,insulin receptor,"HHF5, CD220, INSR",3643,NV3271,INSR-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
IRAK1,IRAK1,interleukin 1 receptor associated kinase 1,"IRAK, pelle",3654,NV3281,NanoLuc®-IRAK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
IRAK3,IRAK3,interleukin 1 receptor associated kinase 3,"ASRT5, IRAKM",11213,NV1441,NanoLuc®-IRAK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
IRAK4,IRAK4,Interleukin 1 receptor associated kinase 4,"IPD1, REN64, IRAK-4, NY-REN-64",51135,NV1451,IRAK4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
ITK,ITK,IL2 inducible T-cell kinase,"EMT, LYK, LPFS1, PSCTK2",3702,NV1461,NanoLuc®-ITK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
JAK2,JAK2,Janus kinase 2,"JTK10, THCYT3",3717,NV3291,JAK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
JAK2 (JH1 domain),JAK2,Janus kinase 2,"JTK10, THCYT3",3717,NV3311,NanoLuc®-JAK2(JH1 domain) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
JAK2 (V617F),JAK2,Janus kinase 2,"JTK10, THCYT3",3717,NV3301,JAK2(V617F)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
JAK3,JAK3,Janus kinase 3,"JAKL, LJAK, JAK-3, L-JAK, JAK3_HUMAN",3718,NV1471,JAK3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
JNK1,MAPK8,mitogen-activated protein kinase 8,"JNK, JNK1, PRKM8, SAPK1, JNK-46, JNK1A2, SAPK1c, JNK21B1/ 2",5599,NV1701,NanoLuc®-MAPK8 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
JNK2,MAPK9,mitogen-activated protein kinase 9,"JNK-55, JNK2, JNK2A, JNK2ALPHA, JNK2B, JNK2BETA, PRKM9, SAPK, SAPK1a, p54a, p54aSAPK",5601,NV1711,NanoLuc®-MAPK9 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
JNK3,MAPK10,mitogen-activated protein kinase 10,"JNK3, JNK3A, PRKM10, SAPK1b, p493F12, p54bSAPK",5602,NV1481,JNK3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
KIT,KIT,KIT proto-oncogene receptor tyrosine kinase,"PBT, SCFR, C-Kit, CD117",3815,NV1491,KIT-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
KIT (A829P),KIT,"KIT proto-oncogene, receptor tyrosine kinase","C-Kit, CD117, MASTC, PBT, SCFR",3815,NV3321,KIT(A829P)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
KIT (D816H),KIT,"KIT proto-oncogene, receptor tyrosine kinase","C-Kit, CD117, MASTC, PBT, SCFR",3815,NV3331,KIT(D816H)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
KIT (D816V),KIT,"KIT proto-oncogene, receptor tyrosine kinase","C-Kit, CD117, MASTC, PBT, SCFR",3815,NV3341,KIT(D816V)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
KIT (L576P),KIT,"KIT proto-oncogene, receptor tyrosine kinase","C-Kit, CD117, MASTC, PBT, SCFR",3815,NV3351,KIT(L576P)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
KIT (V559D),KIT,"KIT proto-oncogene, receptor tyrosine kinase","C-Kit, CD117, MASTC, PBT, SCFR",3815,NV3361,KIT(V559D)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
"KIT (V559D,T670I)",KIT,"KIT proto-oncogene, receptor tyrosine kinase","C-Kit, CD117, MASTC, PBT, SCFR",3815,NV3371,"KIT(V559D,T670I)-NanoLuc® Fusion Vector","NanoBRET™ TE Intracellular Kinase Assay, K-8",
"KIT (V559D,V654A)",KIT,"KIT proto-oncogene, receptor tyrosine kinase","C-Kit, CD117, MASTC, PBT, SCFR",3815,NV3381,"KIT(V559D,V654A)-NanoLuc® Fusion Vector","NanoBRET™ TE Intracellular Kinase Assay, K-4",
LATS1,LATS1,large tumor suppressor kinase 1,"WARTS, wts",9113,NV1501,LATS1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
LATS2,LATS2,large tumor suppressor kinase 2,KPM,26524,NV1511,LATS2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
LCK,LCK,"LCK proto-oncogene, Src family tyrosine kinase","LSK, YT16, IMD22, p56lck, pp58lck",3932,NV1521,LCK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
LIMK1,LIMK1,LIM domain kinase 1,"LIMK, LIMK-1",3984,NV3391,LIMK1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
LIMK2,LIMK2,LIM domain kinase 2,,3985,NV1531,LIMK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-4"
LRRK2,LRRK2,leucine-rich repeat kinase 2,"PARK8, RIPK7, ROCO2, AURA17, DARDARIN",120892,NV3401,LRRK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
LRRK2 (G2019S),LRRK2,leucine-rich repeat kinase 2,"PARK8, RIPK7, ROCO2, AURA17, DARDARIN",120892,NV3411,LRRK2(G2019S)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
LRRK2 (I2020T),LRRK2,leucine-rich repeat kinase 2,"PARK8, RIPK7, ROCO2, AURA17, DARDARIN",120892,NV3431,LRRK2(I2020T)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
LRRK2 (R1441C),LRRK2,leucine-rich repeat kinase 2,"PARK8, RIPK7, ROCO2, AURA17, DARDARIN",120892,NV3421,LRRK2(R1441C)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
LTK,LTK,leukocyte receptor tyrosine kinase,TYK1,4058,NV1541,LTK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
LYN,LYN,"LYN proto-oncogene, Src family tyrosine kinase","JTK8, p53Lyn, p56Lyn",4067,NV1551,LYN-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
MAP2K6,MAP2K6,mitogen-activated protein kinase kinase 6,"MAPKK6, MEK6, MKK6, PRKMK6, SAPKK-3, SAPKK3",5608,NV3441,MAP2K6-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
MAP3K10,MAP3K10,mitogen-activated protein kinase kinase kinase 10,"MST, MLK2, MEKK10",4294,NV1561,NanoLuc®-MAP3K10 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAP3K11,MAP3K11,mitogen-activated protein kinase kinase kinase 11,"MLK3, PTK1, SPRK, MLK-3, MEKK11",4296,NV1571,NanoLuc®-MAP3K11 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAP3K12,MAP3K12,mitogen-activated protein kinase kinase kinase 12,"DLK, MEKK12, MUK, ZPK, ZPKP1",26404,NV1581,NanoLuc®-MAP3K12 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAP3K13,MAP3K13,mitogen-activated protein kinase kinase kinase 13,"LZK, MEKK13, MLK",9175,NV3451,NanoLuc®-MAP3K13 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
MAP3K19,MAP3K19,mitogen-activated protein kinase kinase kinase 19,"RCK, YSK4",80122,NV3461,MAP3K19-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MAP3K2,MAP3K2,mitogen-activated protein kinase kinase kinase 2,"MEKK2, MEKK2B",10746,NV3471,MAP3K2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MAP3K21,MAP3K21,mitogen-activated protein kinase kinase kinase 21,"MLK4, dJ862P8.3",84451,NV3481,NanoLuc®-MAP3K21 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MAP3K3,MAP3K3,mitogen-activated protein kinase kinase kinase 3,"MAPKKK3, MEKK3",4215,NV3491,MAP3K3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MAP3K4,MAP3K4,mitogen-activated protein kinase kinase kinase 4,"MAPKKK4, MEKK 4, MEKK4, MTK1, PRO0412",4216,NV1591,MAP3K4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAP4K1,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,HPK1,11184,NV1611,NanoLuc®-MAP4K1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAP4K2,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2,"GCK, BL44, RAB8IP",5871,NV1621,NanoLuc®-MAP4K2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAP4K3,MAP4K3,mitogen-activated protein kinase kinase kinase kinase 3,"GLK, MAPKKKK3, MEKKK 3, MEKKK3, RAB8IPL1",8491,NV1631,NanoLuc®-MAP4K3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAP4K5,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5,"GCKR, KHS, KHS1, MAPKKKK5",11183,NV3501,MAP4K5-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MAPK11,MAPK11,mitogen-activated protein kinase 11,"P38B, SAPK2, p38-2, PRKM11, SAPK2B, p38Beta, P38BETA2",5600,NV1651,NanoLuc®-MAPK11 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
MAPK14,MAPK14,mitogen-activated protein kinase 14,"RK, p38, CSBP, EXIP, Mxi2, CSBP1, CSBP2, CSPB1, PRKM14, PRKM15, SAPK2A, p38ALPHA",1432,NV1661,MAPK14-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
MAPK14 (T106M),MAPK14,mitogen-activated protein kinase 14,"CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA",1432,NV3511,MAPK14(T106M)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MAPK4,MAPK4,mitogen-activated protein kinase 4,"ERK-4, ERK4, PRKM4, p63-MAPK, p63MAPK",5596,NV1681,NanoLuc®-MAPK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAPK6,MAPK6,mitogen-activated protein kinase 6,"ERK3, HsT17250, PRKM6, p97MAPK",5597,NV1691,NanoLuc®-MAPK6 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MARK2,MARK2,microtubule affinity regulating kinase 2,"EMK-1, EMK1, PAR-1, Par-1b, Par1b",2011,NV1721,NanoLuc®-MARK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MARK3,MARK3,microtubule affinity regulating kinase 3,"CTAK1, KP78, PAR1A, Par-1a, VIPB",4140,NV3521,NanoLuc®-MARK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
MARK4,MARK4,microtubule affinity regulating kinase 4,"MARK4LS, MARKL1, MARKL1L, PAR-1D, MARK4",57787,NV1731,NanoLuc®-MARK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MAST3,MAST3,microtubule associated serine/ threonine kinase 3,-,23031,NV3531,NanoLuc®-MAST3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MAST4,MAST4,microtubule associated serine/ threonine kinase family member 4,-,375449,NV3541,NanoLuc®-MAST4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MELK,MELK,maternal embryonic leucine zipper kinase,HPK38,9833,NV1741,NanoLuc®-MELK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MELK (T460M),MELK,maternal embryonic leucine zipper kinase,"HPK38, KIAA0175",9833,NV3551,NanoLuc®-MELK(T460M) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
MERTK,MERTK,"MER proto-oncogene, tyrosine kinase","MER, RP38, Tyro12, c-Eyk, c-mer",10461,NV3561,MERTK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
MERTK (A708S),MERTK,"MER proto-oncogene, tyrosine kinase","MER, RP38, Tyro12, c-Eyk, c-mer",10461,NV3571,MERTK(A708S)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
MET,MET,"MET proto-oncogene, receptor tyrosine kinase","HGFR, AUTS9, RCCP2, c-Met, DFNB97",4233,NV1751,MET-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MET (D1228H),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3691,MET(D1228H)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (D1228N),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3681,MET(D1228N)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (F1200I),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3701,MET(F1200I)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (M1250T),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3581,MET(M1250T)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (P991S),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3601,MET(P991S)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (T1173I),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3621,MET(T1173I)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (T992I),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3611,MET(T992I)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (V1092I),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3631,MET(V1092I)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (Y1230A),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3641,MET(Y1230A)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (Y1230C),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3651,MET(Y1230C)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (Y1230D),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3661,MET(Y1230D)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (Y1230H),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3671,MET(Y1230H)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MET (Y1235D),MET,met proto-oncogene (hepatocyte growth factor receptor),"HGFR, AUTS9, RCCP2, c-Met, MET",4233,NV3591,MET(Y1235D)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MKNK2,MKNK2,MAPK interacting serine/ threonine kinase 2,"GPRK7, MNK2",2872,NV3711,NanoLuc®-MKNK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MLK1,MAP3K9,mitogen-activated protein kinase kinase kinase 9,"MLK1, MEKK9, PRKE1",4293,NV1601,NanoLuc®-MAP3K9 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MLTK,MAP3K20,mitogen-activated protein kinase kinase kinase 20,"AZK, CNM6, MLK7, MLT, MLTK, MLTKalpha, MLTKbeta, MRK, SFMMP, ZAK, mlklak, pk",51776,NV3721,NanoLuc®-MLTK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MOK,MOK,MOK protein kinase,"RAGE, RAGE-1, RAGE1, STK30",5891,NV3731,NanoLuc®-MOK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MUSK,MUSK,muscle associated receptor tyrosine kinase,"CMS9, FADS",18198,NV1761,MUSK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MYLK2,MYLK2,myosin light chain kinase 2,"KMLC, MLCK, MLCK2, skMLCK",85366,NV1771,MYLK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
MYLK3,MYLK3,myosin light chain kinase 3,"MLCK, MLCK2, caMLCK",91807,NV3741,MYLK3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
MYLK4,MYLK4,myosin light chain kinase family member 4,SgK085,340156,NV3751,MYLK4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NEK1,NEK1,NIMA-related expressed kinase 1,"D8Ertd790e, kat",4750,NV3761,NanoLuc®-NEK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NEK11,NEK11,NIMA related kinase 11,-,79858,NV3771,NanoLuc®-NEK11 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NEK2,NEK2,NIMA related kinase 2,"HsPK21A, NLK1, PPP1R111, RP67",4751,NV1781,NanoLuc®-NEK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
